,Cod port destinatie,1,2,3,4,5,6,7,8,9,10,11,12,13
Cod port,,Constanta,Varna,Burgas,Istambul,Kozlu,Samsun,Batumi,Sokhumi,Soci,Anapa,Yalta,Sevastopol,Odessa
1,Constanta,0,176,244,366,397,742,1099,1008,892,718,466,394,305
2,Varna,176,0,118,272,368,769,1139,1064,952,775,520,478,476
3,Burgas,248,118,0,230,373,816,1171,1108,1003,836,591,542,557
4,Istambul,366,272,230,0,249,730,1093,1033,936,807,579,548,644
5,Kozlu,397,368,373,249,0,487,857,801,712,596,394,394,577
6,Samsun,742,769,816,730,487,0,454,436,382,411,400,475,739
7,Batumi,1099,1139,1171,1093,857,454,0,158,273,510,684,788,1054
8,Sokhumi,1008,1064,1108,1033,801,436,158,0,150,389,576,673,945
9,Soci,892,952,1003,936,712,382,273,150,0,248,450,551,825
10,Anapa,718,775,836,807,596,411,510,389,248,0,252,371,639
11,Yalta,466,520,591,579,394,400,684,576,450,252,0,117,392
12,Sevastopol,394,478,542,548,394,475,788,673,551,371,117,0,305
13,Odessa,305,476,557,644,577,739,1054,945,825,639,392,305,0
